Employer,Link,Level of Study,Hiring For,Target Programs,Industry,Opportunities,Logo
Mackenzie Health,https://www.mackenziehealth.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Part-time,Health Sciences,Not specified,Registered Nurse|Nurse Practitioner,https://studentlife.utoronto.ca/wp-content/uploads/MackenzieHealth.jpg
Magellan Aerospace Corporation,https://magellan.aero/,Recent Graduates|Undergraduate,Full-time|Co-op,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Magellan.jpg
Maple Leaf Foods,https://www.mapleleaffoods.com/,Recent Graduates|Undergraduate,Full-time|Internship|Co-op,All Programs,Manufacturing,Leadership Track Program,https://studentlife.utoronto.ca/wp-content/uploads/MapleLeaf.jpg
MDPI,https://www.mdpi.com/,Graduate|Recent Graduates,Full-time,All Programs,Not specified,Assistant Editors|English Editors,https://studentlife.utoronto.ca/wp-content/uploads/MDPI_Logo.png
MEDAVIE,https://www.medaviebc.ca/en/,Recent Graduates|Undergraduate|Graduate,Full-time|Summer|Co-op,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Medavie.jpg
Method,https://www.method.me/,Recent Graduates|Undergraduate,Full-time,Engineering & Technology,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Method_CRM.jpg
Multiplex,https://www.multiplex.global/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op,Engineering & Technology,Not specified,Project Coordinator|Site Coordinator|Estimating,https://studentlife.utoronto.ca/wp-content/uploads/multiplex.jpg
Neighbourly Pharmacy,https://www.neighbourlypharmacy.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op|Summer|Part-time,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Neighbourly.jpg
NMG Consulting,https://www.nmg-consulting.com/,Undergraduate,Full-time,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/nmg_consulting.jpg
Noble Corporation,https://www.noblecorp.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Co-op,Engineering & Technology|Business & Management,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Noble-1.jpg
Official Languages Programs,https://englishfrench.ca/,Recent Graduates|Undergraduate|Graduate,Part-time,Education,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/OfficialLanguages.jpg
Okta,https://www.okta.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Summer,Engineering & Technology|Business & Management,Not specified,Software Engineer|Assurance Analyst|Application Security Engineer|Defensive Cyber Operations|Product Marketing,https://studentlife.utoronto.ca/wp-content/uploads/Okta.jpg
Ontario Federation of Indigenous Friendship Centres (OFIFC),https://ofifc.org/,Recent Graduates|Undergraduate|Graduate,Full-time,Arts & Science|Education|Business & Management,Community & Social Services,Program Advisors|Finance|Post Secondary Instructors|Instructors,https://studentlife.utoronto.ca/wp-content/uploads/OFIFC.jpg
Ontario Power Generation,https://www.opg.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/OPG.jpg
Parsons Corporation,https://www.parsons.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op|Summer,Engineering & Technology,Engineering,Associate Engineer|Intern,https://studentlife.utoronto.ca/wp-content/uploads/Parsons.jpg
PC Financial,https://www.pcfinancial.ca/en/,Recent Graduates|Undergraduate|Graduate,Co-op|Summer|Part-time,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/PCFinancial.jpg
PERI Formwork Systems Inc.,https://www.peri.ca/en,Recent Graduates|Undergraduate,Full-time|Co-op,Engineering & Technology,Engineering,Designer|Senior Designer|Engineer,https://studentlife.utoronto.ca/wp-content/uploads/PERI.jpg
ProSapient,https://www.prosapient.com/,Recent Graduates|Undergraduate,Full-time,Arts & Science|Business & Management,"Computer, Information and Internet Services",Client Services Associate,https://studentlife.utoronto.ca/wp-content/uploads/ProSapient.jpg
Public Service Commission of Canada,https://www.canada.ca/en/public-service-commission.html,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op|Summer|Part-time,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/PublicServiceCommissionCanada.jpg
Rakuten Kobo,https://www.kobo.com/ca/en,Not specified,Not specified,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/rakuten-kobo.jpg
Revolut,https://www.revolut.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Summer,Business & Management|Engineering & Technology|Arts & Science,Banking & Financial Services,Developer|Application Consultants|Project Coordinators|Solution Experts,https://studentlife.utoronto.ca/wp-content/uploads/Revolut.jpg
Riipen,https://www.riipen.com/,Graduate|Undergraduate,Short term projects,All Programs,Education,Riipen FuturePath Short Term Projects,https://studentlife.utoronto.ca/wp-content/uploads/Riipen.jpg
S&C Electric Canada Ltd.,https://www.sandc.com/,Undergraduate,Co-op,Engineering & Technology|Business & Management,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/SCElectric.jpg
Sanofi,https://www.sanofi.com/en,Undergraduate,Co-op|Internship,Engineering & Tech|Data & AI|Business|Life Sciences|Health Sciences,Not specified,Biotechnology & Pharmaceuticals,https://studentlife.utoronto.ca/wp-content/uploads/sanofi.jpg
Sapling Financial Consultants,https://saplingfinancial.com/,Recent Graduates|Graduate,Full-time,Engineering & Technology|Business & Management,Not specified,Analyst|Consultant,https://studentlife.utoronto.ca/wp-content/uploads/Sapling.jpg
Scarborough Health Network (SHN),https://www.shn.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op|Part-time,Health Sciences,Not specified,Registered Nurse|Clinical Practice Leader|Physician Assistant|Medical Radiation Therapist|Respiratory Therapist|Nurse Practitioner,https://studentlife.utoronto.ca/wp-content/uploads/ScarboroughHealthNetwork.jpg
SOTI,https://soti.net/,Not specified,Not specified,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/soti.jpg
Sunlife Financial,https://www.sunlife.ca/en/,Recent Graduates|Undergraduate|Graduate,Full-time,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Sunlife.jpg
Sunnybrook Health Sciences Centre,https://sunnybrook.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Part-time,Health Sciences|Life Sciences,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/SunnybrookHealth.jpg
Tata Consultancy Services,https://www.tcs.com/,Undergraduate|Graduate|Recent Graduates,Full-time|Internship,Business & Management|Engineering & Technology|Arts & Science,"Computer, Information and Internet Services",Not specified,https://studentlife.utoronto.ca/wp-content/uploads/tata.jpg
Telus,https://www.telus.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Co-op,Engineering & Technology|Business & Management,Not specified,Technology|Engineering Co-op|Technology Specialist Graduate Technology Leadership Program,https://studentlife.utoronto.ca/wp-content/uploads/Telus.jpg
Veeva Systems,https://www.veeva.com/,Recent Graduates|Undergraduate|Graduate,Co-op|Full-time|Internship,Engineering & Technology,"Computer, Information and Internet Services",Not specified,https://studentlife.utoronto.ca/wp-content/uploads/VeevaSystems.jpg
Wolf Advanced Technology,https://wolfadvancedtechnology.com/,Undergraduate|Graduate|Recent Graduates,Internship|Co-op|Full-time|Part-time,Engineering & Technology,Engineering,Engineers (All Types),https://studentlife.utoronto.ca/wp-content/uploads/WolfTechnologies.jpg
WSIB,https://www.wsib.ca/,Recent Graduates|Undergraduate|Graduate,Co-op|Full-time|Summer|Internship|Part-time,All Programs,Government,Summer student|Customer Service Representative Case Manager|Nurse Consultant|Coop Student,https://studentlife.utoronto.ca/wp-content/uploads/WSIB.jpg
